Rebecca Welton,2021612458,22S,NN,23F
Object Oriented Software Engineering,SE 6329,22F,blank,B+
Advanced Requirements Enginrg,CS 6361,22S,blank,B+
Advanced Software Architecture and Design,SE 6362,22F,blank,B
Software Testing، Validation، Verificaiton,SE 6367,22S,blank,B+
Advanceed Software Engineering Project,SE 6387,23S,blank,blank
blank,blank,blank,blank,blank
Probability and Statistics,CS 3341,21F,blank,B
Design and Analysis of Computer Algorithms,CS 6363,22S,blank,B+
Machine Learning,CS 6375,22S,blank,A-
Statistical Methods for Data Science,CS 6313,22F,blank,A
Artifical Intelligence,CS 6364,22F,blank,A-
Database Design,CS 6360,23S,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Discrete Structures,CS 5333,21F,blank,A
Software Engineering,SE 5354,21F,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
